text,drug,sentiment,,,
"Autoimmune diseases tend to come in clusters. As for Gilenya â€“ if you feel good, donâ€™t think about it, it wonâ€™t change anything but waste your time and energy. Iâ€™m taking Tysabri and feel amazing, no symptoms (other than dodgy color vision, but Iâ€™ve had it since always, so, donâ€™t know) and I donâ€™t know if it will last a month, a year, a decade, ive just decided to enjoy the ride, no point in worrying.",gilenya,2,,,
"I can completely understand why youâ€™d want to try it. But, results reported in lectures donâ€™t always stand up to the scrutiny of peer-review during publication. There so much still to do before this is convincing. I hope that it does work out, I really do. And if youâ€™re aware of and happy with the risks, then thatâ€™s great. I just think itâ€™s important to present this in a balanced way, and to understand why we donâ€™t move straight from the first show of promise in an animal study to using drugs on humans. Thereâ€™s still a lot of animal data to gather, and human data to gather before anyone can tell if itâ€™s safe or effective. I canâ€™t tell you how many times animal studies donâ€™t follow through to humans, but itâ€™s one of the major attrition points in drug development. Youâ€™ve been through some of the unpredictability issues with Cladribine/Gilenya, where there was an interaction that wasnâ€™t predicted. But once people try it, the doctors can see patterns and work out whatâ€™s going on. Clemastine/metformin is very exciting, and given what youâ€™ve said about your current condition and your personal risk tolerance it makes sense to try it. It definitely wouldnâ€™t be for everyone.",gilenya,2,,,
"Interesting that it only targets S1P-1/5 receptors rather than 1-5 like Fingolimod. Hoping to soon see what the AEs and SAEs were Yes. I'm not sure what this means, exactly:  Quote Nine patients reported serious adverse events (2 mg: 3/29 [10.3%], 1.25 mg: 1/43 [2.3%], 0.5 mg: 4/29 [13.8%], and 0.25 mg: 1/50 [2.0%]; no serious adverse event was reported for more than 1 patient and no new safety signals occurred compared with the BOLD Study. If there were 9 patients reporting SAEs, how can it be stated that ""no serious adverse event was reported for more than 1 patient...""? Maybe I haven't read this right, or maybe there's a misprint. I'm very pleased that something is being developed for SPMS, and it's encouraging that siponimod doesn't linger for very long in the body.",fingolimod,2,,,
"Very interesting, grand merci. Now I wonder where lemtrada and ocrevus sales would go, if they prove anti-cd20 are induction",ocrevus,2,,,
"Hi everybody, My latest MRI results for Brain and Cervical Cord are in and my next Neurologist appointment is in the next couple of weeks. Thereâ€™re no new lesions in Brain/Cord and Iâ€™ve had no relapses while I was on Gilenya. This was a good sign. But there was one line in the cervical cord review that concerned me. It goes : â€œLesions at C2-3 and T2 now show hypointensity on the post gadolinium T1 images only. This could represent artifact or early axonal loss.â€ That was bothersome to read. What are the kind of symptoms from C2-C3 lesion should I be aware of ? Would it result in change of my DMT ? Thanks.",gilenya,1,,,
I canâ€™t give you advice about Lemtrada because I chose Cladribine. Have you thought about this drug? The doctors at Barts are keen to give it to people with SPMS. You can read about it here: http://multiple-sclerosis-research.blogspot.com/2016/01/suppose-there-was-therapy-for-all.html,cladribine,2,,,
"Reply posted for JessZidek. Hi Jess Sorry to read about the challenges you are having with your health. You mentioned a lot in your post. I just want to share some info on a few of the points. First, I know you said that you are scared of Humira. Humira and other biologics are very successful in reducing symptoms and inducing and maintain disease remission. To reduce your level of fear it can help to learn more about your treatment option. You can learn more about some of your treatment options. To learn more view our Understanding IBD Medication brochure at: http://www.crohnscolitisfoundation.org/assets/pdfs/understanding-ibd-meds-nov.pdf . If you would like to talk, contact the Help Center at 888-694-8872 or at info@crohnscolitisfoundation.org",humira,0,,,
"Well as expected my Neurologist wants me to start Tysabri, I kept saying that I wasnâ€™t happy and he kept saying Yes you are! But I am still NOT, If Lemtrada was available here I think I would definitely go for that,but like every thing here we are way behind, it took 8 years longer than Australia to get Gilenya and Tysabri? I am taking Gilenya every second day,but my vitals are still low,white blood count 1.9 last week? On the day I donâ€™t take I am a box of birds,as normal as I can be! Again I really Donâ€™t want this Tysabri! And am considering just not attending! I have voiced my concerns_But? It seems even on it,if you tolerate ok, the average time until you have to stop though becoming JVC positive is two years?",gilenya,2,,,
"Why do you think that FIngolimod was such a miserable failure in progressive MS trial in humans (not animals) that was aborted by Biogen? If it is in fact stimulating neuronal gene expression, axon growth and regeneration, which is what you want in progressive patients, why do human trials fail?",fingolimod,1,,,
"Thank you so muchâ€¦Iâ€™m learning a lot here at GRACE.  I should have mentioned my husbandâ€™s cancer is in his bones, liver, adrenal, in addition to lung and brain mets as I mentioned.   I truly appreciate the comments on hospice as we just started hospice a few weeks agoâ€¦my insurance allows palliative care along with continued anti-cancer treatment.  I only thought of hospice as end-of-life care, thus was hesitant, but it has truly been a blessing as theyâ€™ve helped with equipment, medicine, and twice weekly visits give us a bit of a measurement of how my husband is doing.  They have been extremely helpful.   I meant to askâ€¦does Opdivo and/or Tagrisso penetrate the blood brain barrier?  Iâ€™ve heard yes and no.  My husband had just started Opdivo (only 5 treatments) and they switched to Irinotecan chemo because of the brain mets.  After the first chemo, he ended up in the hospital with pneumonia.   Thank you again! Gina",tagrisso,2,,,
